,user_name,quote
139,Luke,Hello.
140,Luke,You got a lot of carbon scoring here.  It looks like you boys have seen a lot of action.
141,Threepio,"With all we've been through, sometimes I'm amazed we're in as good condition as we are, what with the Rebellion and all."
142,Luke,You know of the Rebellion against the Empire?
143,Threepio,"That's how we came to be in your service, if you take my meaning, sir."
144,Luke,Have you been in many battles?
145,Threepio,"Several, I think.  Actually, there's not much to tell.  I'm not much more than an interpreter, and not very good at telling stories.  Well, not at making them interesting, anyways."
146,Luke,"Well, my little friend, you've got something jammed in here real good.  Were you on a starcruiser or..."
147,Leia,"Help me, Obi-Wan Kenobi.  You'remy only hope."
148,Luke,What's this?
149,Threepio,What is what?!?  He asked you a question...What is that?
150,Leia,"Help me, Obi-Wan Kenobi.  You're my only hope.  Help me, Obi-Wan Kenobi.  You're my only hope."
151,Threepio,"Oh, he says it's nothing, sir.  Merely a malfunction.  Old data.  Pay it no mind."
152,Luke,Who is she?  She's beautiful.
153,Threepio,"I'm afraid I'm not quite sure, sir."
154,Leia,"Help me, Obi-Wan Kenobi..."
155,Threepio,"I think she was a passenger on our last voyage.  A person of some importance, sir - I believe.  Our captain was attached to..."
156,Luke,Is there more to this recording?
157,Threepio,"Behave yourself, Artoo.  You're going to get us in trouble.  It's all right, you can trust him.  He's our new master."
158,Threepio,"He says he's the property of Obi-Wan Kenobi, a resident of these parts.  And it's a private message for him.  Quite frankly, sir, I don't know what he's talking about.  Our last master was Captain Antilles, but with what we've been through, this little R2 unit has become a bit eccentric."
159,Luke,Obi-Wan Kenobi?  I wonder if he means old Ben Kenobi?
160,Threepio,"I beg your pardon, sir, but do you know what he's talking about?"
161,Luke,"Well, I don't know anyone named Obi-Wan, but old Ben lives out beyond the dune sea.  He's kind of a strange old hermit."
162,Luke,I wonder who she is.  It sounds like she's in trouble.  I'd better play back the whole thing.
163,Threepio,"He says the restraining bolt has short circuited his recording system.  He suggests that if you remove the bolt, he might be able to play back the entire recording."
164,Luke,"H'm?  Oh, yeah, well, I guess you're too small to run away on me if I take this off!  Okay."
165,Luke,There you go.
166,Luke,"Well, wait a minute.  Where'd she go?  Bring her back!  Play back the entire message."
167,Threepio,been playing.  The one you're carrying inside your rusty innards! 
168,Aunt beru,Luke?  Luke!  Come to dinner!
169,Luke,"All right, I'll be right there, Aunt Beru."
170,Threepio,"I'm sorry, sir, but he appears to have picked up a slight flutter."
171,Luke,"Well, see what you can do with him.  I'll be right back."
172,Threepio,Just you reconsider playing that message for him.
173,Threepio,"No, I don't think he likes you at all."
174,Threepio,"No, I don't like you either."
175,Luke,"You know, I think that R2 unit we bought might have been stolen."
176,Owen,What makes you think that?
177,Luke,"Well, I stumbled across a recording while I was cleaning him.  He says he belongs to someone called Obi-Wan Kenobi."
178,Luke,"I thought he might have meant Ben.  Do you know what he's talking about?  Well, I wonder if he's related to Ben."
179,Owen,That old man's just a crazy wizard.  Tomorrow I want you to take that R2 unit into Anchorhead and have its memory flushed.  That'll be the end of it.  It belongs to us now.
180,Luke,But what if this Obi-Wan comes looking for him?
181,Owen,"He won't, I don't think he exists any more.  He died about the same time as your father."
182,Luke,He knew my father?
183,Owen,I told you to forget it.  Your only concern is to prepare the new droids for tomorrow.  In the morning I want them on the south ridge working out those condensers.
184,Luke,"Yes, sir.  I think those new droids are going to work out fine.  In fact, I, uh, was also thinking about our agreement about my staying on another season.  And if these new droids do work out, I want to transmit my application to the Academy this year."
185,Owen,You mean the next semester before harvest?
186,Luke,"Sure, there're more than enough droids."
187,Owen,Harvest is when I need you the most.  Only one more season.  This year we'll make enough on the harvest so I'll be able to hire some more hands.  And then you can go to the Academy next year.
188,Owen,"You must understand I need you here, Luke."
189,Luke,But it's a whole 'nother year.
190,Owen,"Look, it's only one more season."
191,Luke,"Yeah, that's what you said last year when Biggs and Tank left."
192,Aunt beru,Where are you going?
193,Luke,It looks like I'm going nowhere.  I have to finish cleaning those droids.
194,Aunt beru,"Owen, he can't stay here forever.  Most of his friends have gone.  It means so much to him."
195,Owen,I'll make it up to him next year.  I promise.
196,Aunt beru,"Luke's just not a farmer, Owen.  He has too much of his father in him."
197,Owen,That's what I'm afraid of.
198,Luke,What are you doing hiding there?
199,Threepio,"It wasn't my fault, sir.  Please don't deactivate me.  I told him not to go, but he's faulty, malfunctioning; kept babbling on about his mission."
200,Luke,"Oh, no!"
201,Threepio,That R2 unit has always been a problem.  These astro-droids are getting quite out of hand.  Even I can't understand their logic at times. 
202,Luke,How could I be so stupid?  He's nowhere in sight.  Blast it!
203,Threepio,"Pardon me, sir, but couldn't we go after him?"
204,Luke,It's too dangerous with all the Sand People around.  We'll have to wait until morning.
205,Owen,"Luke, I'm shutting the power down for the night."
206,Luke,"All right, I'll be there in a few minutes.  Boy, am I gonna get it."
207,Luke,You know that little droid is going to cause me a lot of trouble.
208,Threepio,"Oh, he excels at that, sir."
209,Owen,Luke?  Luke?  Luke?  Where could he be loafing now!
210,Owen,Have you seen Luke this morning?
211,Aunt beru,"He said he had some things to do before he started today, so he left early."
212,Owen,Uh?  Did he take those two new droids with him?
213,Aunt beru,I think so.
214,Owen,"Well, he'd better have those units in the south range repaired bemidday or there'll be hell to pay!"
215,Luke,How's that.
216,Luke,"Old Ben Kenobi lives out in this direction somewhere, but I don't see how that R2 unit could have come this far.  We must have missed him.  Uncle Owen isn't going to take this very well."
217,Threepio,"Sir, would it help if you told him it was my fault."
218,Luke,Sure.  He needs you.  He'd probably only deactivate you for a day or so...
219,Threepio,"Deactivate!  Well, on the other hand if you hadn't removed his restraining bolt..."
220,Luke,"Wait, there's something dead ahead on the scanner.  It looks like our droid... hit the accelerator."
221,Luke,"Hey, whoa, just where do you think you're going?"
222,Threepio,"Master Luke here is your rightful owner.  We'll have no more of this Obi-Wan Kenobi jibberish... and don't talk to me of your mission, either.  You're fortunate he doesn't blast you into a million pieces right here."
223,Luke,"Well, come on. It's getting late.  I only hope we can get back before Uncle Owen really blows up."
224,Threepio,"If you don't mind my saying so, sir, I think you should deactivate the little fugitive until you've gotten him back to your workshop."
225,Luke,"No, he's not going to try anything."
226,Luke,What's wrong with him now?
227,Threepio,"Oh my... sir, he says there are several creatures approaching from the southeast."
228,Luke,"Sand People!  Or worse!  Come on, let's have a look.  Come on."
229,Luke,"There are two Banthas down there but I don't see any... wait a second, they're Sand People all right.  I can see one of them now."
230,Ben,Hello there!  Come here my little friend.  Don't be afraid.
231,Ben,"Don't worry, he'll be all right."
232,Luke,What happened?
233,Ben,"Rest easy, son, you've had a busy day.  You're fortunate you're still in one piece."
234,Luke,"Ben?  Ben Kenobi!  Boy, am I glad to see you! "
235,Ben,"The Jundland Wastes are not to be traveled lightly.  Tell me, young Luke, what brings you out this far?"
236,Luke,"Oh, this little droid!  I think he's searching for his former master...  I've never seen such devotion in a droid before... there seems tobe no stopping him.  He claims to be the property of an Obi-Wan Kenobi.  Is he a relative of yours?  Do you know who he's talking about?"
237,Ben,Obi-Wan Kenobi... Obi-Wan?  Now thats a name I haven't heard in a long time... a long time.
